School,1Q scoring,2Q scoring,3Q scoring,4Q scoring,EX scoring,Total scoring,MIN,M(2P),A(2P),%(2P),M(3P),A(3P),%(3P),FG%,M(FT),A(FT),&(FT),DK,S(FB),F(FB),OR(rebounds),DR(rebounds),TOT(rebounds),AS,ST,GD,BS,W(PF),WO(PF),TOT(PF),FD,TO,TF,WIN
,17,16,18,19,0,70,200,21,51,41,6,29,21,34,10,16,63,0,5,2,20,22,42,20,10,0,3,2,10,12,16,9,0,0
,18,21,17,24,0,80,200,31,47,66,5,22,23,52,3,4,75,0,7,3,8,27,35,22,7,1,4,8,8,16,12,11,0,1
,17,15,20,18,0,70,200,18,45,40,7,22,32,37,13,19,68,0,5,3,14,25,39,18,5,3,5,12,7,19,22,10,0,1
,16,19,11,14,0,60,200,13,36,36,7,25,28,33,13,21,62,0,2,4,14,22,36,17,7,1,2,10,12,22,19,13,0,0
Y,24,19,18,25,0,86,200,27,45,60,9,22,41,54,5,8,63,1,7,2,12,27,39,27,6,0,5,6,8,14,12,16,0,1
,13,10,9,36,0,58,200,17,45,38,5,25,20,31,9,12,75,0,5,6,15,14,29,17,8,1,3,4,8,12,14,10,0,0
,25,25,28,7,0,85,200,27,50,54,9,20,45,51,4,5,80,0,10,1,16,13,29,22,20,0,2,6,9,15,7,13,0,1
,11,22,12,24,0,69,200,18,27,67,8,28,29,47,9,10,90,0,5,2,10,14,24,19,10,0,3,3,4,7,15,23,0,0
,26,15,12,12,0,65,200,20,36,56,6,22,27,45,7,11,64,0,3,0,11,26,37,11,9,0,1,10,11,21,11,19,0,0
,21,24,19,11,0,75,200,17,42,40,9,30,30,36,14,19,74,0,3,2,19,22,41,14,8,3,1,6,5,11,21,13,0,1
,19,12,20,27,0,78,200,23,46,50,9,28,32,43,5,8,63,0,3,1,14,18,32,21,5,3,0,8,10,18,16,12,0,0
,31,24,26,20,0,101,200,22,35,63,15,39,38,50,12,15,80,1,8,1,18,30,48,28,4,1,2,5,11,16,18,15,0,1
,20,15,19,6,0,60,200,13,29,45,9,25,36,41,7,10,70,0,2,1,10,14,24,16,15,2,2,5,14,19,16,16,0,1
Y,16,9,20,5,0,50,200,15,28,54,5,19,26,43,5,10,50,0,5,2,11,15,26,13,10,2,4,5,11,16,19,20,0,0
,16,17,21,28,0,82,200,13,29,45,15,44,34,38,11,15,73,0,6,3,18,20,38,24,7,2,2,4,12,16,17,10,0,1
,15,17,14,23,0,69,200,18,32,56,9,26,35,47,6,8,75,0,4,2,5,20,25,19,4,2,2,8,9,17,16,12,0,0
K,29,16,23,23,0,91,200,32,50,68,6,26,23,53,5,9,56,2,11,1,15,19,34,27,12,0,5,10,10,20,15,9,0,1
,17,16,11,20,0,64,200,11,30,37,9,23,39,38,15,20,75,0,0,1,10,19,29,12,5,2,4,7,7,14,19,21,0,0
,17,20,19,18,0,74,200,15,34,44,10,30,33,39,14,21,67,0,8,3,15,21,36,22,4,0,5,8,9,17,20,11,0,1
,20,13,17,21,0,71,200,22,44,50,6,26,23,40,9,13,69,1,5,3,14,18,32,20,7,1,5,12,8,20,17,8,0,0
,20,19,26,17,0,82,200,26,46,57,5,17,29,49,15,20,75,0,8,4,17,28,45,23,8,1,1,4,13,17,18,17,0,1
,17,17,12,22,0,68,200,18,37,49,9,38,24,36,5,7,71,0,3,3,13,13,26,23,9,5,2,11,7,18,17,11,0,0
,25,21,15,22,0,83,200,24,46,52,6,13,46,51,17,26,65,0,8,2,12,28,40,15,10,0,4,8,11,19,27,19,1,1
,13,12,26,16,0,67,200,19,36,53,7,36,19,36,8,15,53,0,1,3,15,15,30,15,11,2,2,14,13,27,19,19,1,0
,19,17,17,20,0,73,200,29,53,55,3,24,13,42,6,13,46,0,8,6,12,28,40,11,7,2,3,5,11,16,16,12,0,0
,22,17,27,21,0,87,200,23,43,53,12,40,30,42,5,8,63,0,5,4,15,33,48,19,9,0,3,8,8,16,16,11,0,1
,11,14,11,19,0,55,200,17,39,44,6,22,27,38,3,9,33,0,5,0,12,27,39,19,5,3,5,7,7,14,17,13,0,1
,17,11,15,10,0,53,200,10,27,37,7,34,21,28,12,14,86,0,0,2,11,27,38,13,5,3,2,5,12,17,14,11,0,0
,13,11,19,12,0,55,200,21,42,50,1,17,6,37,10,15,67,0,7,1,4,19,23,13,7,0,1,3,11,14,15,13,0,0
Y,28,20,17,13,0,78,200,19,39,49,12,27,44,47,4,4,100,1,3,3,12,31,43,19,7,0,2,9,6,15,14,15,1,1
,17,23,19,9,0,68,200,16,39,41,9,27,33,38,9,14,64,0,3,1,12,25,37,17,5,0,2,9,5,14,17,10,0,1
K,14,26,16,11,0,67,200,23,47,49,3,20,15,39,12,16,75,2,6,6,13,21,34,15,9,0,6,7,10,17,14,9,0,0
,16,10,20,16,0,62,200,23,55,42,3,21,14,34,7,12,58,0,3,2,20,28,48,17,6,0,3,3,11,14,13,8,0,1
,17,21,14,9,0,61,200,20,39,51,6,40,15,33,3,7,43,1,5,2,23,25,48,23,5,0,7,6,7,13,14,11,0,0
K,22,16,27,16,0,81,200,21,33,64,9,29,31,48,12,16,75,0,11,0,13,25,38,21,12,2,10,8,7,15,19,13,0,1
,8,14,10,19,0,51,200,14,44,32,4,16,25,30,11,16,69,0,1,5,13,18,31,13,9,0,2,9,10,19,15,18,0,0
,24,31,25,24,0,104,200,27,53,51,12,33,36,45,14,16,88,0,11,6,16,39,55,26,10,0,2,3,4,10,16,13,0,1
,17,18,17,18,0,70,200,21,48,44,6,30,20,35,10,12,83,0,11,6,9,29,38,16,9,1,2,9,7,16,10,14,0,0
,24,14,20,10,0,68,200,18,34,53,8,25,32,44,8,12,67,0,3,1,11,26,37,17,3,0,5,9,9,18,17,16,0,0
,22,16,21,18,0,77,200,22,55,40,8,19,42,41,9,17,53,0,2,4,14,20,34,22,11,1,2,6,11,17,18,7,0,1
,18,15,17,10,0,60,200,13,29,45,7,26,27,36,13,15,87,0,1,2,8,25,33,17,4,0,7,6,11,17,17,16,0,0
,17,22,14,19,0,72,200,22,49,45,6,22,27,39,10,12,83,0,5,3,16,24,40,19,12,0,3,8,9,17,17,9,0,1
Y,13,9,12,30,0,64,200,18,42,43,6,27,22,35,10,12,83,1,5,2,15,42,57,16,4,1,6,5,7,12,18,12,0,1
,13,10,8,11,0,42,200,15,49,31,3,25,12,24,3,9,33,0,8,3,12,23,35,14,9,0,5,6,12,18,12,10,0,0
,24,31,34,29,0,118,200,30,47,64,14,31,45,56,16,20,80,1,15,2,11,37,48,31,14,0,4,7,12,19,17,12,0,1
,17,17,18,20,0,72,200,16,39,41,11,44,25,33,7,14,50,0,2,2,17,20,37,16,7,2,1,11,6,17,19,16,1,0
K,20,19,33,24,0,96,200,31,48,65,5,17,29,55,19,22,86,0,13,2,11,26,37,19,9,2,1,6,9,15,20,7,0,1
,13,8,19,15,0,55,200,18,36,50,4,20,20,39,7,11,64,0,3,1,6,16,22,12,3,0,2,12,8,20,15,16,0,0
Y,31,25,22,22,0,100,200,27,40,68,14,25,56,63,4,5,80,1,6,2,8,34,42,29,7,0,4,11,6,17,13,16,0,1
,21,13,10,30,0,74,200,17,41,41,9,23,39,41,13,20,65,0,5,3,4,16,20,18,9,0,2,3,10,13,17,9,0,0
,17,12,11,19,0,59,200,20,46,43,3,17,18,37,10,13,77,0,6,2,6,27,33,13,11,0,6,9,12,21,17,15,0,0
,16,20,17,17,0,70,200,21,47,45,5,27,19,35,13,17,76,0,4,1,18,29,47,17,7,3,1,8,9,17,21,12,2,1
,21,29,20,20,0,90,200,26,56,46,11,25,44,46,5,6,83,0,12,2,16,21,37,26,13,1,2,10,8,18,12,11,0,1
,14,25,22,20,0,81,200,20,40,50,9,24,38,45,14,18,78,0,6,1,13,25,38,20,8,1,3,4,8,12,18,18,0,0
,22,25,17,14,0,78,200,26,47,55,5,27,19,42,11,11,100,0,6,5,16,26,42,17,11,2,0,8,14,22,12,12,0,1
,7,10,13,23,0,53,200,12,24,50,7,24,29,40,8,16,20,0,5,1,7,22,29,16,5,3,0,6,6,12,22,19,0,0
,16,18,11,9,0,54,200,13,36,36,6,29,21,29,10,16,63,0,1,0,17,14,31,10,4,0,2,6,10,18,21,11,0,0
K,22,14,17,23,0,76,200,29,47,62,4,19,21,50,6,9,67,1,10,2,13,27,40,25,7,0,3,10,11,21,16,10,0,1
,13,8,15,33,0,69,200,22,48,46,7,27,26,39,4,10,40,0,8,2,13,15,28,19,9,1,3,12,5,17,15,9,0,0
,23,22,26,31,0,102,200,34,54,63,8,17,47,59,10,18,56,1,4,2,18,34,52,22,6,0,4,6,9,15,17,13,0,1
,9,8,21,19,0,57,200,10,9,26,10,28,36,30,7,14,50,0,3,4,15,20,35,14,7,2,3,8,14,22,21,6,0,0
Y,14,15,17,18,0,64,200,15,41,37,7,24,29,34,13,16,81,0,5,3,16,27,43,16,2,0,7,8,13,21,22,12,0,1
,29,25,19,19,0,92,200,16,35,46,17,39,44,45,9,22,41,1,4,3,22,25,47,29,4,1,6,12,8,20,23,14,0,1
,17,19,25,28,0,89,200,22,49,45,9,22,41,44,18,25,72,0,2,2,12,22,34,26,8,1,4,12,11,23,20,6,0,0
,15,17,12,21,0,65,200,15,35,43,10,29,34,39,5,6,83,0,6,1,11,23,34,16,14,1,6,9,11,20,15,17,0,1
,8,13,16,17,0,54,200,15,31,48,4,22,18,36,12,15,80,0,4,1,7,21,28,11,13,1,3,3,12,15,20,19,0,0
,20,14,5,15,0,54,200,19,42,45,4,27,15,33,4,9,44,2,5,2,8,22,30,16,10,1,3,6,7,13,10,10,0,0
Y,20,14,18,21,0,73,200,28,46,61,4,27,15,44,5,10,50,1,3,0,18,35,53,24,4,0,4,5,5,10,13,12,0,1
,18,11,13,20,0,62,200,13,36,36,9,35,26,31,9,14,64,0,3,3,16,19,35,15,13,1,4,9,10,19,21,6,1,1
,12,10,11,24,0,57,200,18,38,47,4,19,21,39,9,16,56,0,4,1,14,30,44,13,2,1,4,7,14,21,19,17,1,0
,20,21,18,13,0,72,200,19,49,39,7,25,28,35,13,19,68,0,3,1,18,23,41,18,8,3,2,6,11,17,21,9,0,1
,17,13,15,14,0,59,200,18,36,50,5,23,22,39,8,12,67,0,8,2,8,22,30,11,6,0,6,11,10,21,17,13,0,0
,18,13,31,16,0,78,200,17,41,41,11,27,41,41,11,13,85,0,3,1,8,21,29,17,5,2,0,14,10,24,19,15,0,0
,25,25,26,25,0,101,200,31,49,63,6,20,30,54,21,26,81,0,10,4,12,27,39,31,8,1,5,8,11,19,24,8,0,1
,22,8,24,19,0,73,200,23,42,55,3,27,11,38,18,24,75,0,8,5,11,23,34,22,11,2,7,9,7,16,20,12,0,1
,18,15,19,17,0,69,200,22,41,54,5,22,23,43,10,17,59,0,8,2,9,26,35,24,9,1,1,13,7,20,16,18,0,0
,23,17,7,16,0,63,200,12,26,46,9,21,43,45,12,18,67,0,2,1,7,26,33,19,5,2,1,11,11,22,23,18,0,1
,23,11,14,13,0,61,200,11,28,39,9,38,24,30,12,23,52,1,5,3,17,17,34,16,14,1,4,9,14,23,22,12,0,0
K,21,13,18,15,0,67,200,22,40,55,5,19,26,46,8,17,47,0,4,2,5,24,29,20,7,0,2,8,9,17,17,9,0,1
,20,21,14,7,0,62,200,20,38,53,6,21,29,44,4,15,27,0,3,1,8,24,32,20,6,1,6,9,8,17,17,14,0,0
,24,16,13,13,0,66,200,16,37,43,7,23,30,38,13,14,93,0,1,0,13,18,31,11,6,3,5,6,16,22,19,17,0,0
,17,16,18,18,0,69,200,25,49,51,4,17,24,44,7,10,70,0,7,2,10,20,30,17,6,4,1,7,12,19,22,13,0,1
,11,20,16,14,0,61,200,16,36,44,2,23,9,31,23,29,79,0,8,5,11,19,30,16,5,0,1,3,14,17,24,15,0,0
K,25,20,26,22,0,93,200,31,46,67,10,26,38,57,1,4,25,0,7,3,11,26,37,33,12,0,1,15,9,24,17,13,0,1
,22,15,26,20,0,83,200,24,50,48,9,29,31,42,8,9,89,0,8,3,21,14,35,20,13,1,1,6,7,13,15,13,0,1
,15,20,19,23,0,77,200,18,28,64,11,31,35,49,8,11,73,0,4,1,12,22,34,22,9,1,6,5,10,15,13,23,0,0
,15,28,27,26,0,96,200,26,48,54,9,22,41,50,17,28,61,1,14,5,15,26,41,25,11,0,3,8,12,20,23,3,0,1
,13,16,20,10,0,59,200,19,35,54,4,23,17,40,9,12,75,0,3,0,6,21,27,11,2,0,2,16,7,23,20,15,0,0
Y,18,16,18,22,0,74,200,25,43,58,6,31,19,42,6,9,67,2,7,3,17,26,43,24,6,1,8,9,12,21,16,8,0,1
,14,13,7,20,0,54,200,18,39,46,2,26,8,31,12,17,71,0,7,1,16,24,40,11,4,0,1,6,10,16,21,14,0,0
,17,11,28,21,0,77,200,26,51,51,5,23,22,42,10,21,48,0,3,3,14,22,36,8,11,2,3,13,11,24,23,5,0,1
,16,26,14,13,0,69,200,17,39,44,6,18,33,40,17,25,68,0,10,2,10,29,39,15,3,1,2,11,12,23,24,16,0,0
,18,11,23,13,0,65,200,22,48,46,3,17,18,38,12,17,71,0,4,4,16,17,33,18,7,2,2,13,9,22,22,10,0,0
K,18,21,19,16,0,74,200,20,34,59,5,24,21,43,19,24,79,0,4,3,12,21,33,16,6,1,7,10,12,22,22,11,0,1
,15,15,7,20,0,57,200,14,30,47,7,29,24,36,8,22,36,0,5,2,11,23,34,18,9,1,1,5,9,14,22,18,0,0
,14,17,20,27,0,78,200,30,50,60,3,18,17,49,9,10,90,0,12,0,9,26,35,21,16,0,3,12,10,22,14,16,0,1
,22,17,14,24,0,77,200,22,45,49,9,26,35,44,6,8,75,0,6,3,9,19,28,16,11,0,1,5,11,16,13,11,0,0
,25,24,23,24,0,96,200,23,36,64,13,34,38,51,11,11,100,0,8,2,8,27,35,25,7,0,4,4,9,13,16,15,0,1
,15,24,12,18,0,69,200,15,38,39,11,29,38,39,6,9,67,0,2,2,5,22,27,19,5,1,1,7,10,17,11,14,0,0
Y,27,23,20,15,0,85,200,23,45,51,10,22,45,49,9,12,75,2,9,1,10,28,38,29,9,0,3,5,6,11,17,11,0,1
,25,12,21,25,0,83,200,22,35,63,10,31,32,48,9,12,75,0,3,0,10,24,34,27,7,0,4,7,9,16,18,10,0,1
,18,21,19,11,0,69,200,21,56,38,6,17,35,37,9,14,64,0,2,1,19,20,39,14,5,0,3,7,11,18,16,10,0,0
,16,17,10,23,0,66,200,18,45,40,6,23,26,35,12,17,71,0,5,2,21,22,43,10,10,1,4,1,11,12,12,10,0,1
,14,15,19,11,0,59,200,14,27,52,10,25,40,46,1,2,50,0,3,3,4,21,25,19,6,1,1,8,4,12,12,15,0,0
,22,31,18,13,0,84,200,24,41,59,8,22,36,51,12,23,52,0,13,0,11,38,49,25,13,0,2,7,12,19,22,14,0,1
,18,2,8,16,0,44,200,16,33,48,1,34,3,25,9,13,69,0,3,2,10,22,32,10,12,1,2,12,10,22,19,16,0,0
,12,5,13,18,0,48,200,13,34,38,6,31,19,29,4,9,44,0,1,2,10,11,21,7,2,2,0,8,13,21,14,8,0,0
Y,31,24,25,24,0,104,200,27,42,61,13,31,42,55,11,14,79,1,7,1,17,35,52,25,5,2,5,5,9,14,21,8,0,1
,17,18,21,16,0,72,200,23,41,56,7,24,29,46,5,9,56,0,8,1,8,25,33,18,7,1,6,7,13,20,17,10,0,1
,17,18,14,17,0,67,200,14,37,36,10,27,37,38,9,14,64,0,4,2,11,26,37,19,5,2,2,6,11,17,20,14,0,0
,18,18,25,12,0,73,200,28,55,51,2,10,20,46,11,16,69,0,10,1,12,25,37,17,10,1,6,8,8,16,21,16,0,1
K,14,16,21,14,0,65,200,20,42,48,5,28,18,36,10,15,67,0,9,3,15,21,36,13,7,2,8,10,11,21,16,17,0,0
,19,18,27,19,0,83,200,26,40,65,5,26,19,47,16,20,80,0,5,2,8,24,32,11,11,1,4,5,11,16,19,13,0,1
,11,18,13,31,0,73,200,21,41,51,8,34,24,39,7,9,78,0,4,3,16,23,39,17,6,1,0,11,8,19,16,15,0,0
,16,14,22,12,0,64,200,20,52,38,6,21,29,36,6,11,55,0,3,6,14,20,34,17,10,0,3,10,11,21,16,12,0,0
,22,17,9,22,0,70,200,20,45,44,5,21,24,38,15,19,79,0,5,1,19,30,49,20,8,2,6,6,10,16,21,14,0,1
,14,10,16,17,0,57,200,14,34,41,8,33,24,33,5,8,63,0,7,4,8,17,25,14,9,2,2,8,9,17,17,13,0,0
,17,20,20,24,0,81,200,27,45,60,6,21,29,50,9,14,64,0,11,5,11,28,39,20,9,1,3,4,13,17,17,17,0,1
Y,32,20,12,17,0,81,200,21,37,57,11,39,28,42,6,7,86,0,4,1,19,25,44,18,9,0,2,5,6,11,14,12,0,1
,25,22,14,9,0,70,200,20,40,50,8,25,32,43,6,9,67,0,6,4,10,22,32,18,5,0,4,4,10,14,11,13,0,0
K,23,14,18,17,0,72,200,25,45,56,5,23,22,44,7,11,64,1,3,5,18,19,37,17,9,1,5,9,10,19,16,11,0,1
,24,16,11,10,0,61,200,16,38,42,6,21,29,37,11,17,65,0,4,0,16,16,32,18,6,0,3,6,10,16,19,14,0,0
,15,13,20,11,0,59,200,17,37,46,5,26,19,35,10,13,77,0,5,5,12,18,30,16,10,3,6,4,11,15,20,11,0,0
,16,22,11,17,0,66,200,25,58,43,3,17,18,37,7,8,88,0,5,8,24,27,51,18,6,2,1,7,13,20,15,16,0,1
,28,9,8,11,0,56,200,20,40,50,3,20,15,38,7,10,70,0,1,2,10,15,25,12,0,3,0,8,8,16,19,14,0,0
K,16,29,25,29,0,99,200,38,53,72,4,16,25,61,11,14,79,0,10,0,9,26,35,28,7,1,4,7,12,19,16,9,0,1
,32,19,20,9,0,80,200,19,32,59,13,36,36,47,3,7,43,0,5,1,7,14,21,25,10,1,1,8,12,20,15,14,0,0
,24,18,25,25,0,92,200,26,42,62,11,24,46,56,7,13,54,1,9,3,15,24,39,30,7,2,4,4,11,15,20,17,0,1
Y,24,26,28,22,0,100,200,35,48,73,8,25,32,59,6,11,55,1,9,3,9,30,39,25,7,0,4,6,7,13,18,11,0,1
,12,12,22,6,0,52,200,20,56,36,2,16,13,31,6,10,60,0,6,2,11,21,32,9,6,1,0,7,11,18,13,14,0,0
,25,17,27,16,0,85,200,31,54,57,5,18,28,50,8,12,67,0,10,3,18,33,51,24,12,0,5,7,10,17,15,15,0,1
,17,12,2,7,0,38,200,9,31,29,4,23,17,24,8,14,57,0,3,6,6,17,23,11,9,3,1,7,8,15,17,17,0,0
,26,11,22,20,0,79,200,19,41,46,7,26,27,39,20,29,69,0,3,3,19,24,43,22,10,2,3,11,12,23,24,13,0,1
,13,12,27,18,0,70,200,24,47,51,3,19,16,41,13,20,65,0,4,1,14,22,36,18,9,0,4,15,9,24,23,13,0,0
,19,16,17,26,0,78,200,21,56,38,6,22,27,35,18,22,82,0,5,2,20,18,38,12,6,2,2,12,10,22,20,9,0,0
,26,22,22,24,0,94,200,28,50,56,6,16,38,52,20,23,87,4,6,1,13,24,37,26,6,0,6,13,7,20,22,10,1,1
,20,20,24,16,0,80,200,26,50,52,6,26,23,42,10,15,67,0,13,3,16,37,53,18,9,0,3,11,13,24,16,12,0,1
,20,6,13,21,0,60,200,10,32,31,8,31,26,29,16,22,73,0,2,4,10,19,29,9,7,2,5,8,8,16,24,9,0,0
,23,11,9,13,0,56,200,17,34,50,5,29,17,35,7,9,78,0,2,1,19,24,43,18,8,3,3,5,16,21,17,14,0,1
,5,21,7,7,0,40,200,8,23,35,6,28,21,27,6,10,60,0,4,0,5,19,24,11,6,3,4,4,13,17,21,15,0,0
,26,21,12,19,0,78,200,20,37,54,9,25,36,47,11,23,48,0,5,1,11,34,45,23,6,0,7,11,13,24,19,16,0,1
,15,16,12,26,0,69,200,19,50,38,6,22,27,35,13,21,62,1,7,5,12,24,36,19,8,3,5,12,7,19,24,8,0,0
,29,11,23,16,0,79,200,23,46,50,7,21,33,45,12,15,80,1,7,6,8,23,31,16,8,2,3,8,8,16,19,7,0,1
,21,12,15,18,0,66,200,21,42,50,6,27,22,39,6,12,50,0,2,0,13,29,42,11,6,0,2,9,10,19,16,15,0,0
,21,19,16,17,0,73,200,17,34,50,6,23,26,40,21,34,62,0,8,0,22,29,51,19,5,2,5,6,12,18,28,22,0,0
,10,16,18,37,0,81,200,17,35,49,13,34,38,43,8,11,73,0,4,3,3,18,21,23,12,1,4,18,10,28,18,9,0,1
,9,14,13,19,0,55,200,14,40,35,7,30,23,30,6,9,67,0,3,3,13,22,35,13,11,2,3,12,13,25,18,17,0,0
,12,16,17,20,0,65,200,20,41,49,4,23,17,38,13,22,59,0,7,3,13,26,39,14,13,2,6,5,13,18,25,17,0,1
,21,17,24,9,0,71,200,29,46,63,1,18,6,47,10,13,77,0,7,5,12,27,39,24,9,0,4,7,11,18,20,19,0,0
,23,16,14,19,0,72,200,24,26,52,5,29,17,39,9,14,64,0,5,1,16,18,34,29,9,2,2,8,12,20,18,12,0,1
,13,7,15,19,0,54,200,6,23,26,11,28,39,33,9,14,64,0,1,4,6,17,23,13,7,1,5,10,9,19,19,20,0,0
,28,15,18,18,0,79,200,24,52,46,5,24,21,38,16,20,80,1,6,2,23,29,52,18,13,1,4,7,12,19,19,15,0,1
